#noautoenter  下线回城
#runplayer    允许穿人
#runmon       允许穿怪
#nodiedropitem 死亡不掉东西
#noprotectnewer 不保护新手
#masktype(0)  地图摭罩
#pkprohibit   禁止PK
#pkallow      允许PK(不加PK值)
#nochangeequiplist 禁止切换装备选项
#noseeothers   看不到其他玩家
#nodropitem 禁止扔东西
#addcofingroup  杀怪加疲软值
#em(number) 杀怪倍数
#execallow 地图打怪扣体力值
#expmul(number) 人物最大经验倍数
#nointeract     屏蔽玩家名字,禁止聊天,禁止查看角色信息
#nomount 禁止坐骑
#lockaction 禁止攻击和使用技能

#[地图编号 地图编号  名字  脚本触发  配置字段(支持上述的功能)

#地表地图
#[kuafu vkf 跨服战 map.kuafu runmon,runplayer
[rs69     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs70     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs71     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs72     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs73     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs74     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs75     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs76      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs77      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs78      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs79      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs80      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs81      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs82      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs83      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs84      nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs85     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs86     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs87     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs88     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs89     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs90     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs91     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs92     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs93     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs94     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs95     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs96     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs97     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs98     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs99     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs100     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs101     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs102     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs103     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs104     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs105     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs106     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs107     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs108     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs109     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs110     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs111     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs112     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs113     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs114     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs115     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs116     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs117     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs118     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs119     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs120     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs121     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs122     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs123     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs124     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs125     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs126     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs127     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs128     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs129     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs130     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs131     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs132     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs133     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs134     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs135     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs136     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs137     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs138     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs139     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs140     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs141     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs142     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs143     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs144     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs145     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs146     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs147     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs148     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs149     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs150     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs151     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs152     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs153     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs154     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs155     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs156     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs157     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs158     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs159     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs160     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs161     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs162     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs163     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs164     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs165     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs166     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs167     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs168     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs169     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs170     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs171     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs172     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs173     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs174     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs175     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs176     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs177     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs178     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs179     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs180     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs181     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs182     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs183     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs184     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs185     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs186     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs187     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs188     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs189     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs190     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs191     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs192     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs193     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs194     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs195     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs196     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs197     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs198     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs199     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs200     nmfb     奴玛神庙[副本]  map.raid_sexp1 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem

[rs201     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs202     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs203     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs204     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs205     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs206     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs207     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs208     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs209     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs210     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs211     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs212     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs213     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs214     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs215     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs216     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs217     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs218     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs219     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs220     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs221     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs222     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs223     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs224     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs225     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs226     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs227     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs228     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs229     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs230     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs231     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs232     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs233     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs234     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs235     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs236     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs237     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs238     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs239     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs240     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs241     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs242     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs243     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs244     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs245     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs246     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs247     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs248     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs249     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs250     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs251     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs252     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs253     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs254     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs255     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs256     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs257     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs258     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs259     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs260     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs261     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs262     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs263     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs264     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs265     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs266     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs267     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs268     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs269     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs270     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs271     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs272     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs273     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs274     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs275     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs276     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs277     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs278     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs279     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs280     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs281     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs282     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs283     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs284     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
